x,y,z
0.91,1.30,0.0
0.89,1.31,0.0
0.86,1.32,0.0
0.83,1.32,0.0
0.81,1.33,0.0
0.78,1.34,0.0
0.76,1.35,0.0
0.73,1.36,0.0
0.70,1.36,0.0
0.68,1.37,0.0
0.65,1.38,0.0
0.62,1.38,0.0
0.60,1.39,0.0
0.57,1.40,0.0
0.55,1.40,0.0
0.51,1.41,0.0
0.48,1.42,0.0
0.46,1.42,0.0
0.43,1.42,0.0
0.41,1.43,0.0
0.38,1.43,0.0
0.36,1.43,0.0
0.33,1.44,0.0
0.31,1.44,0.0
0.28,1.44,0.0
0.26,1.44,0.0
0.23,1.43,0.0
0.21,1.43,0.0
0.19,1.43,0.0
0.18,1.43,0.0
0.18,1.43,0.0
0.18,1.44,0.0
0.19,1.44,0.0
0.19,1.43,0.0
0.18,1.43,0.0
0.18,1.43,0.0
0.19,1.43,0.0
0.19,1.44,0.0
0.19,1.43,0.0
0.18,1.43,0.0
0.18,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.19,1.43,0.0
0.17,1.42,0.0
0.16,1.40,0.0
0.15,1.38,0.0
0.14,1.37,0.0
0.13,1.35,0.0
0.12,1.33,0.0
0.11,1.32,0.0
0.10,1.30,0.0
0.09,1.28,0.0
0.08,1.26,0.0
0.08,1.24,0.0
0.07,1.22,0.0
0.06,1.20,0.0
0.05,1.17,0.0
0.04,1.15,0.0
0.03,1.13,0.0
0.02,1.11,0.0
0.01,1.09,0.0
-0.00,1.07,0.0
-0.01,1.04,0.0
-0.02,1.02,0.0
-0.03,1.00,0.0
-0.04,0.97,0.0
-0.05,0.95,0.0
-0.06,0.93,0.0
-0.07,0.91,0.0
-0.08,0.89,0.0
-0.09,0.86,0.0
-0.10,0.84,0.0
-0.11,0.82,0.0
-0.12,0.79,0.0
-0.13,0.76,0.0
-0.14,0.74,0.0
-0.14,0.72,0.0
-0.15,0.70,0.0
-0.16,0.67,0.0
-0.16,0.65,0.0
-0.17,0.63,0.0
-0.18,0.61,0.0
-0.18,0.58,0.0
-0.19,0.56,0.0
-0.19,0.54,0.0
-0.19,0.52,0.0
-0.20,0.49,0.0
-0.20,0.47,0.0
-0.20,0.45,0.0
-0.20,0.43,0.0
-0.20,0.41,0.0
-0.20,0.39,0.0
-0.20,0.37,0.0
-0.19,0.35,0.0
-0.19,0.33,0.0
-0.19,0.31,0.0
-0.18,0.30,0.0
-0.18,0.29,0.0
-0.17,0.28,0.0
-0.17,0.27,0.0
-0.16,0.27,0.0
-0.17,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.18,0.27,0.0
-0.17,0.27,0.0
-0.17,0.27,0.0
-0.17,0.27,0.0
-0.17,0.26,0.0
-0.16,0.25,0.0
-0.15,0.25,0.0
-0.13,0.24,0.0
-0.12,0.23,0.0
-0.11,0.22,0.0
-0.10,0.21,0.0
-0.09,0.21,0.0
-0.07,0.20,0.0
-0.06,0.19,0.0
-0.04,0.18,0.0
-0.03,0.17,0.0
-0.01,0.17,0.0
0.01,0.15,0.0
0.03,0.15,0.0
0.05,0.14,0.0
0.07,0.13,0.0
0.09,0.13,0.0
0.11,0.12,0.0
0.13,0.11,0.0
0.15,0.11,0.0
0.17,0.10,0.0
0.19,0.09,0.0
0.21,0.09,0.0
0.23,0.08,0.0
0.25,0.07,0.0
0.27,0.07,0.0
0.30,0.06,0.0
0.32,0.06,0.0
0.34,0.05,0.0
0.37,0.05,0.0
0.39,0.04,0.0
0.41,0.04,0.0
0.46,0.03,0.0
0.48,0.02,0.0
0.50,0.02,0.0
0.53,0.01,0.0
0.55,0.01,0.0
0.57,0.00,0.0
0.60,-0.00,0.0
0.62,-0.01,0.0
0.65,-0.01,0.0
0.67,-0.02,0.0
0.69,-0.02,0.0
0.72,-0.02,0.0
0.74,-0.03,0.0
0.78,-0.03,0.0
0.80,-0.04,0.0
0.82,-0.04,0.0
0.85,-0.04,0.0
0.87,-0.05,0.0
0.90,-0.05,0.0
0.92,-0.05,0.0
0.93,-0.06,0.0
0.95,-0.06,0.0
0.94,-0.06,0.0
0.93,-0.06,0.0
0.93,-0.06,0.0
0.93,-0.06,0.0
0.93,-0.06,0.0
0.93,-0.06,0.0
0.93,-0.05,0.0
0.94,-0.05,0.0
0.94,-0.06,0.0
0.93,-0.06,0.0
0.93,-0.05,0.0
0.94,-0.05,0.0
0.94,-0.05,0.0
0.93,-0.05,0.0
0.93,-0.06,0.0
0.93,-0.05,0.0
0.93,-0.05,0.0
0.94,-0.05,0.0
0.93,-0.05,0.0
0.95,-0.04,0.0
0.96,-0.02,0.0
0.97,-0.00,0.0
0.99,0.02,0.0
1.00,0.04,0.0
1.01,0.06,0.0
1.02,0.08,0.0
1.02,0.10,0.0
1.04,0.12,0.0
1.05,0.15,0.0
1.06,0.17,0.0
1.07,0.19,0.0
1.09,0.24,0.0
1.10,0.27,0.0
1.11,0.29,0.0
1.13,0.32,0.0
1.14,0.34,0.0
1.15,0.36,0.0
1.16,0.39,0.0
1.17,0.42,0.0
1.19,0.44,0.0
1.20,0.47,0.0
1.21,0.49,0.0
1.22,0.52,0.0
1.24,0.55,0.0
1.25,0.57,0.0
1.27,0.61,0.0
1.28,0.64,0.0
1.29,0.67,0.0
1.30,0.69,0.0
1.31,0.72,0.0
1.32,0.75,0.0
1.33,0.77,0.0
1.34,0.80,0.0
1.35,0.83,0.0
1.35,0.85,0.0
1.36,0.88,0.0
