acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
0.16932,0.29423,-0.97532,0.08316,-0.01581,1.4932
0.03817,0.08832,-1.00019,0.0318,0.01859,0.75642
0.02559,0.11016,-0.99941,0.00176,0.005,0.10536
-0.00983,-0.01551,-1.00215,-0.00026,0.00721,-0.02257
-0.00417,0.00431,-1.00104,0.00429,0.01146,0.00222
-0.00196,0.00536,-1.00005,0.00673,0.00821,0.00232
-0.00262,0.00561,-1.00341,0.00547,0.00593,-0.002
-0.00307,0.00574,-1.00316,0.00406,0.00404,0.00041
-0.00911,-0.00248,-1.00255,0.01173,0.00553,0.03289
-0.00796,0.00438,-1.00032,0.00293,0.00615,-0.00257
-0.00677,0.00663,-1.00065,0.00561,0.01228,-0.00032
-0.00226,0.00333,-1.00202,0.00458,0.00941,0.00129
-0.00197,0.00571,-1.00162,0.00375,0.00936,-0.00061
-0.00571,0.00593,-1.00246,0.00463,0.01054,0.00202
-0.00508,0.00478,-1.00061,0.00297,0.01341,0.00051
-0.00421,0.00487,-1.00293,0.00417,0.00771,0.00122
-0.00338,0.00349,-1.00211,0.00407,0.01088,0.00028
-0.00559,0.00451,-1.00037,0.00158,0.00709,0.00315
-0.00491,0.00498,-1.00095,0.00196,0.01183,-0.00145
-0.00452,0.00479,-1.00165,0.00537,0.00992,-0.00085
-0.00478,0.00484,-0.99982,0.00147,0.01227,0.00037
-0.00377,0.00492,-1.00083,0.00279,0.01055,0.00134
-0.00466,0.00376,-1.00197,0.00715,0.01057,-0.00035
-0.00486,0.00529,-1.00153,0.00182,0.01038,0.00124
-0.00357,0.00461,-1.00035,0.00588,0.00747,0.00115
-0.00388,0.00495,-1.00223,0.00433,0.00917,2e-05
-0.00453,0.00454,-1.00046,0.00389,0.01189,-0.00066
-0.00491,0.00469,-1.00327,0.00392,0.00852,0.00101
-0.00412,0.00493,-1.0026,0.0043,0.00666,0.00077
-0.00533,0.00505,-1.00195,0.00287,0.01025,0.00211
-0.00542,0.00474,-1.00117,0.00173,0.00958,0.00068
-0.00437,0.00461,-1.00386,0.00439,0.01013,-0.00124
-0.00434,0.00447,-1.0009,0.00275,0.00882,0.00024
-0.00517,0.00419,-1.00036,0.00546,0.00632,0.00068
-0.00496,0.00554,-1.00232,0.00337,0.00937,-0.00147
-0.00501,0.00585,-1.00183,0.00472,0.00762,0.00254
-0.00427,0.00425,-1.0022,0.00339,0.01112,0.00221
-0.00527,0.0054,-1.00187,0.0046,0.00835,-0.00044
-0.00348,0.0038,-1.00243,0.00424,0.00873,0.00091
-0.00596,0.00092,-1.00211,0.00595,0.00861,0.00506
0.17576,0.01449,-1.00245,-0.00642,0.04443,-0.01835
0.27609,-0.02854,-1.01412,-0.01966,-0.02093,0.10153
-0.09622,0.04383,-0.99252,0.00151,-0.0566,-0.10128
-0.23071,-0.01934,-0.9809,-0.01077,0.04195,-0.02698
0.24094,0.01808,-1.04264,-0.01131,0.00082,0.05359
-0.28643,0.0033,-0.95234,0.05014,-0.01256,-0.01403
0.04555,-0.00317,-1.00161,-0.02244,0.04689,-0.0066
0.11949,0.05051,-1.00842,0.02552,-0.04225,-0.06814
-0.24741,-0.00512,-0.97606,-0.05783,0.03836,0.13191
0.06106,-0.02031,-1.00678,0.01134,-0.0069,-0.09096
-0.07488,0.02024,-0.99972,0.01124,-0.00332,0.01436
-0.00405,0.03733,-1.00251,-0.00865,0.00988,0.00358
0.01242,0.00494,-0.99989,0.0168,0.00497,-0.02584
-0.02848,0.00974,-1.00172,0.00784,0.00942,-0.00276
0.24566,0.00492,-0.99743,0.03259,0.03698,0.03984
0.23662,0.03581,-1.00521,0.01,-0.00402,-0.03968
-0.34996,-0.06798,-0.98512,0.01943,0.0027,0.18568
0.02782,0.06385,-1.0101,-0.00221,0.011,-0.23481
0.0369,-0.00788,-1.00395,-0.01399,0.00524,-0.04066
-0.17685,0.05607,-0.98482,0.01749,0.02569,-0.04969
0.11848,0.01053,-1.00478,0.00828,0.01467,0.01957
-0.10736,0.02047,-1.0029,0.01827,-0.01008,0.02093
-0.03902,0.03375,-0.99575,-0.02075,0.05918,-0.08661
0.0564,-0.02601,-1.01014,0.00825,-0.00423,0.06092
-0.18352,-0.02216,-0.99757,0.00031,0.02699,0.06746
0.02407,0.00175,-1.00329,0.00068,0.00848,-0.04726
-0.03063,0.00884,-1.00214,0.00301,0.01084,-0.00099
0.25348,-0.02253,-1.00586,0.0049,0.02291,0.0839
0.14872,-0.04807,-0.98665,0.03459,-0.01037,0.03732
-0.33443,-0.01605,-1.01544,-0.00021,0.00844,0.1568
0.12077,-0.06172,-0.98605,0.04493,0.02658,-0.17445
-0.09681,-0.01524,-0.99127,0.00537,0.0105,0.03085
-0.11326,-0.06875,-1.00509,0.01752,0.00784,0.05624
0.12749,0.01608,-0.99775,0.02085,0.00111,0.02898
-0.18477,0.00711,-0.99882,0.01372,-0.00811,0.01833
0.06524,0.01451,-1.00635,-0.00021,-0.00666,-0.00311
-0.01206,0.00685,-1.00289,0.01416,0.00652,0.01782
-0.05893,0.04051,-1.00098,0.00517,0.00502,-0.013
-0.00378,-0.00503,-1.00263,0.00459,0.00277,-0.00649
-0.22884,-0.56732,-1.05272,0.00281,-0.02192,2.13116
0.00859,-0.03362,-1.04611,-0.02323,-0.05811,2.21775
0.04181,-0.04479,-1.00147,-0.05816,-0.03924,2.48908
0.07543,0.02125,-1.0308,0.0606,-0.05948,2.48602
0.08679,-0.01328,-0.99115,0.06697,-0.02677,2.54612
0.07774,0.00858,-0.99396,0.06066,-0.03531,2.56505
0.08428,0.2493,-0.99801,0.02327,-0.01957,1.07371
0.02054,0.10065,-0.99778,0.01583,-0.01276,0.55822
-0.01147,-0.16256,-0.96988,-0.00792,0.05498,0.03603
0.35099,0.09946,-1.00901,-0.00686,0.01701,-0.03316
-0.17521,-0.01203,-1.0163,0.03239,-0.09568,-0.06692
-0.12491,0.03812,-0.99783,-0.03575,0.04503,-0.07891
0.24862,0.03267,-1.00869,0.0099,-0.01364,-0.01863
-0.29042,-0.00816,-0.97091,0.01011,0.0294,-0.11151
0.0847,0.12832,-0.99999,-0.00523,0.05178,0.03117
0.00333,0.05194,-1.01668,0.04314,-0.02364,-0.03223
-0.18824,0.00868,-0.98407,-0.01934,0.01506,0.0249
0.2068,0.01982,-1.00519,0.02694,0.032,0.00261
-0.19208,0.003,-0.97062,0.00609,-0.00862,-0.0413
0.08126,0.0726,-1.00735,-0.00129,0.00909,-0.09367
-0.02912,-0.01448,-1.0008,0.00665,0.01541,0.04258
-0.04868,-0.03362,-1.00244,-0.00126,0.01066,0.00426
-0.01473,0.02241,-1.00372,0.00506,0.00443,-0.00423
-0.01113,-0.0112,-0.99143,0.00803,0.03393,0.02042
0.28046,-0.04501,-1.01117,0.02762,0.01499,0.02609
0.03801,0.07052,-0.99553,-0.01715,-0.045,0.04203
-0.3122,-0.03854,-1.0019,0.02393,0.0233,0.03806
0.24844,0.01303,-1.00333,0.0466,0.03733,0.03383
-0.0751,0.01695,-0.99929,-0.00912,0.03237,-0.02733
