X,Y
0.67424,0.0325
0.67768,0.0327
0.68099,0.03288
0.68417,0.03307
0.68734,0.03318
0.69041,0.03326
0.69329,0.0335
0.69953,0.03396
0.70273,0.03415
0.70579,0.03433
0.70887,0.03441
0.71199,0.03447
0.71495,0.03472
0.71789,0.03503
0.72093,0.03526
0.72392,0.03544
0.7268,0.03567
0.72974,0.03586
0.73277,0.03598
0.73573,0.03606
0.73861,0.0362
0.74165,0.03639
0.74471,0.03659
0.74778,0.03682
0.7509,0.03693
0.75752,0.03729
0.75752,0.03729
0.76404,0.03776
0.76732,0.03801
0.77054,0.03827
0.77378,0.03852
0.77378,0.03852
0.78037,0.03887
0.78347,0.03911
0.78664,0.03937
0.7897,0.03946
0.79253,0.03959
0.79253,0.03959
0.79831,0.04004
0.80125,0.04007
0.80413,0.04022
0.80413,0.04022
0.81014,0.04052
0.81313,0.04059
0.81606,0.04063
0.81919,0.0407
0.81919,0.0407
0.82567,0.04113
0.82892,0.04129
0.83222,0.04144
0.83547,0.04156
0.83869,0.04165
0.84204,0.04169
0.84538,0.04174
0.84857,0.04187
0.85181,0.04195
0.85504,0.04198
0.85803,0.04206
0.86093,0.04213
0.86393,0.04223
0.86696,0.04231
0.8699,0.04243
0.87291,0.04261
0.87596,0.04273
0.87904,0.04282
0.88207,0.04293
0.88523,0.043
0.8885,0.04307
0.89177,0.04327
0.895,0.04355
0.8983,0.04387
0.90148,0.04411
0.90449,0.04418
0.90758,0.04429
0.91079,0.04444
0.91396,0.04462
0.91717,0.0449
0.92041,0.04519
0.92364,0.04538
0.9267,0.04555
0.9298,0.04568
0.93298,0.0458
0.93612,0.04604
0.93923,0.04634
0.94231,0.04656
0.94529,0.04674
0.9482,0.04696
0.95115,0.04713
0.95422,0.04716
0.95729,0.04721
0.96041,0.04736
0.96368,0.04753
0.96695,0.04766
0.97015,0.04777
0.97336,0.04793
0.97671,0.04805
0.98,0.04812
0.98329,0.04828
0.9866,0.04851
0.98976,0.0486
0.99265,0.04871
0.99555,0.04884
0.99854,0.04892
1.00148,0.04904
1.00441,0.04928
1.01062,0.04947
1.01357,0.04966
1.01659,0.04975
1.01977,0.0498
1.02298,0.04993
1.02609,0.05016
1.02921,0.05034
1.03228,0.0504
1.03523,0.05049
1.03814,0.05068
1.04122,0.05075
1.04433,0.05072
1.04737,0.05072
1.05047,0.05084
1.0537,0.05102
1.05687,0.05129
1.06003,0.0515
1.0633,0.0517
1.06666,0.05189
1.06996,0.05206
1.07325,0.05224
1.07655,0.05236
1.07975,0.05255
1.08287,0.05277
1.0861,0.05286
1.08926,0.05302
1.09232,0.05325
1.09534,0.0536
1.0984,0.05385
1.10139,0.05401
1.10731,0.05452
1.11041,0.05464
1.11343,0.05478
1.11646,0.05495
1.11646,0.05495
1.12253,0.05513
1.12542,0.05512
1.12844,0.05517
1.13167,0.05538
1.13491,0.05563
1.1381,0.05593
1.1414,0.05627
1.14482,0.05634
1.14808,0.05645
1.1514,0.05663
1.15486,0.05673
1.15824,0.05693
1.16158,0.05713
1.16489,0.0573
1.16802,0.05746
1.17089,0.05764
1.17382,0.05785
1.17683,0.05798
1.17969,0.058
1.18256,0.0582
1.18548,0.05841
1.1887,0.05876
1.19181,0.05896
1.19496,0.05913
1.19824,0.05939
1.20157,0.05958
1.20484,0.05979
1.20814,0.06013
1.21143,0.06052
1.21769,0.06091
1.22067,0.06084
1.22369,0.06088
1.22667,0.0609
1.22983,0.06096
1.23308,0.06102
1.23626,0.06112
1.23936,0.06125
1.24255,0.06128
1.24255,0.06128
1.24874,0.06161
1.25178,0.06181
1.25477,0.06201
1.25765,0.06222
1.26055,0.06246
1.26359,0.06267
1.26668,0.0628
1.26982,0.06293
1.27308,0.06317
1.27643,0.06338
1.27961,0.06356
1.28271,0.06366
1.28595,0.06388
1.28923,0.06403
1.29247,0.06421
1.29575,0.06448
1.29906,0.06473
1.30221,0.06496
1.30511,0.06522
1.30798,0.06553
1.31096,0.0657
1.31394,0.0659
1.31712,0.06612
1.32053,0.06627
1.32387,0.06636
1.32716,0.06651
1.33033,0.06663
1.33352,0.06666
1.33663,0.06667
1.34289,0.0669
1.34595,0.06703
1.349,0.06727
1.35207,0.06757
1.35513,0.06775
1.35816,0.0677
1.36127,0.06772
1.36447,0.0679
1.36773,0.0681
1.37078,0.06829
1.374,0.06844
1.37733,0.06865
1.38065,0.06884
1.38392,0.06916
1.38722,0.06945
1.39062,0.06953
1.39393,0.06964
1.39723,0.06983
1.40057,0.07001
1.40378,0.07015
1.40691,0.07043
1.41005,0.07066
1.41306,0.07084
1.416,0.07101
1.41903,0.07113
1.42219,0.07128
1.42535,0.07139
1.42845,0.07145
1.43159,0.0717
1.43474,0.07187
1.43776,0.07194
1.44084,0.07211
1.44409,0.07231
1.44746,0.07249
1.45419,0.07293
1.45755,0.07315
1.46081,0.07328
1.4641,0.07344
1.46747,0.07355
1.47079,0.07371
1.4741,0.07396
1.47743,0.07424
1.48067,0.07443
1.48369,0.07453
1.48666,0.07466
1.48964,0.07482
1.49253,0.07496
1.49542,0.07524
1.49831,0.07553
1.5012,0.07569
1.50419,0.0757
1.50725,0.0758
1.51042,0.07601
1.51367,0.07612
1.51691,0.07619
1.52019,0.07636
1.52353,0.07664
1.52678,0.07683
1.52996,0.07698
1.53329,0.07717
1.53653,0.07726
1.53965,0.07749
1.54291,0.07779
1.54623,0.07808
1.54938,0.07831
1.5525,0.07857
1.55571,0.07878
1.55891,0.079
