data
"acc_x:0.0, acc_y:0.0, acc_z:0.0, gyro_x:0.0, gyro_y:0.0, gyro_z:0.0"
"acc_x:0.02843, acc_y:0.10828, acc_z:-1.0053, gyro_x:0.00184, gyro_y:0.03044, gyro_z:0.60289"
"acc_x:-0.05564, acc_y:-0.21591, acc_z:-1.00327, gyro_x:0.00999, gyro_y:0.02525, gyro_z:-0.1053"
"acc_x:0.34213, acc_y:0.11845, acc_z:-1.02836, gyro_x:-0.00595, gyro_y:0.00964, gyro_z:-0.05355"
"acc_x:-0.00302, acc_y:0.15293, acc_z:-1.0278, gyro_x:0.03041, gyro_y:-0.09781, gyro_z:-0.12485"
"acc_x:-0.23942, acc_y:-0.04932, acc_z:-0.99101, gyro_x:-0.03317, gyro_y:0.03961, gyro_z:0.04304"
"acc_x:0.27791, acc_y:0.02624, acc_z:-0.98956, gyro_x:0.01761, gyro_y:-0.00387, gyro_z:0.02382"
"acc_x:-0.28656, acc_y:0.00902, acc_z:-0.96685, gyro_x:-0.00363, gyro_y:-0.01971, gyro_z:0.02882"
"acc_x:0.06803, acc_y:0.03402, acc_z:-1.00617, gyro_x:-0.01638, gyro_y:0.08203, gyro_z:-0.01616"
"acc_x:0.11584, acc_y:0.06542, acc_z:-0.9831, gyro_x:0.03743, gyro_y:-0.02068, gyro_z:-0.01804"
"acc_x:-0.24906, acc_y:-0.02197, acc_z:-0.97597, gyro_x:-0.0366, gyro_y:0.09425, gyro_z:-0.03106"
"acc_x:0.16572, acc_y:0.1403, acc_z:-1.0006, gyro_x:0.00359, gyro_y:0.01023, gyro_z:0.04854"
"acc_x:-0.17707, acc_y:-0.05563, acc_z:-1.01159, gyro_x:-0.00323, gyro_y:-0.00965, gyro_z:0.00049"
"acc_x:0.05813, acc_y:0.05221, acc_z:-1.00964, gyro_x:0.01011, gyro_y:0.02339, gyro_z:0.00345"
"acc_x:0.01224, acc_y:0.00454, acc_z:-1.00406, gyro_x:0.00721, gyro_y:0.00815, gyro_z:0.01074"
"acc_x:-0.06272, acc_y:0.00027, acc_z:-1.00177, gyro_x:0.00244, gyro_y:0.01567, gyro_z:-0.00402"
"acc_x:-0.01527, acc_y:0.02411, acc_z:-0.99941, gyro_x:0.00429, gyro_y:0.0083, gyro_z:0.00356"
"acc_x:-0.00474, acc_y:0.01685, acc_z:-1.00101, gyro_x:0.00702, gyro_y:0.00266, gyro_z:-0.00925"
"acc_x:-0.02225, acc_y:0.01833, acc_z:-1.00233, gyro_x:0.00838, gyro_y:0.0043, gyro_z:-0.00262"
"acc_x:0.2497, acc_y:-0.02814, acc_z:-1.00207, gyro_x:0.06205, gyro_y:0.02332, gyro_z:0.13814"
"acc_x:0.16487, acc_y:0.13719, acc_z:-1.00167, gyro_x:-0.0446, gyro_y:-0.05691, gyro_z:-0.08888"
